"STATION","NAME","DATE","TAVG","TMAX","TMIN"
"BMM00048097","YANGON INTERNATIONAL, BM","2021-01-01","77",,"64"
"BMM00048097","YANGON INTERNATIONAL, BM","2021-01-02","77",,"62"
"BMM00048097","YANGON INTERNATIONAL, BM","2021-01-03","78","92","64"
"BMM00048097","YANGON INTERNATIONAL, BM","2021-01-04","78","90",
"BMM00048097","YANGON INTERNATIONAL, BM","2021-01-05","80","95","63"
"BMM00048097","YANGON INTERNATIONAL, BM","2021-01-06","81","95","68"
"BMM00048097","YANGON INTERNATIONAL, BM","2021-01-07","82","97","73"
"BMM00048097","YANGON INTERNATIONAL, BM","2021-01-08","82","95","71"
"BMM00048097","YANGON INTERNATIONAL, BM","2021-01-09","80","92","74"
"BMM00048097","YANGON INTERNATIONAL, BM","2021-01-10","81","92","72"
"BMM00048097","YANGON INTERNATIONAL, BM","2021-01-11","80","94","72"
"BMM00048097","YANGON INTERNATIONAL, BM","2021-01-12","79",,
"BMM00048097","YANGON INTERNATIONAL, BM","2021-01-13","77","90","65"
"BMM00048097","YANGON INTERNATIONAL, BM","2021-01-14","77","89","66"
"BMM00048097","YANGON INTERNATIONAL, BM","2021-01-15","75",,"61"
"BMM00048097","YANGON INTERNATIONAL, BM","2021-01-16","75","87","60"
"BMM00048097","YANGON INTERNATIONAL, BM","2021-01-17","76","90","62"
"BMM00048097","YANGON INTERNATIONAL, BM","2021-01-18","77","91","63"
"BMM00048097","YANGON INTERNATIONAL, BM","2021-01-19","77",,"62"
"BMM00048097","YANGON INTERNATIONAL, BM","2021-01-20","78",,"66"
"BMM00048097","YANGON INTERNATIONAL, BM","2021-01-21","79","91","66"
"BMM00048097","YANGON INTERNATIONAL, BM","2021-01-22","78",,"66"
"BMM00048097","YANGON INTERNATIONAL, BM","2021-01-23","77",,"62"
"BMM00048097","YANGON INTERNATIONAL, BM","2021-01-24","75",,"62"
"BMM00048097","YANGON INTERNATIONAL, BM","2021-01-25","76",,"59"
"BMM00048097","YANGON INTERNATIONAL, BM","2021-01-26","77","93","63"
"BMM00048097","YANGON INTERNATIONAL, BM","2021-01-27","80","94","64"
"BMM00048097","YANGON INTERNATIONAL, BM","2021-01-28","80",,"69"
"BMM00048097","YANGON INTERNATIONAL, BM","2021-01-29","82","95","71"
"BMM00048097","YANGON INTERNATIONAL, BM","2021-01-30","81",,
"BMM00048097","YANGON INTERNATIONAL, BM","2021-01-31","81","94",
"BMM00048097","YANGON INTERNATIONAL, BM","2021-02-01","80","95",
"BMM00048097","YANGON INTERNATIONAL, BM","2021-02-02","78",,"63"
"BMM00048097","YANGON INTERNATIONAL, BM","2021-02-03","78","92","61"
"BMM00048097","YANGON INTERNATIONAL, BM","2021-02-04","80","98","65"
"BMM00048097","YANGON INTERNATIONAL, BM","2021-02-05","81",,"66"
"BMM00048097","YANGON INTERNATIONAL, BM","2021-02-06","81",,"71"
"BMM00048097","YANGON INTERNATIONAL, BM","2021-02-07","82","95","70"
"BMM00048097","YANGON INTERNATIONAL, BM","2021-02-08","79",,
"BMM00048097","YANGON INTERNATIONAL, BM","2021-02-09","74","93","59"
"BMM00048097","YANGON INTERNATIONAL, BM","2021-02-10","78",,"58"
"BMM00048097","YANGON INTERNATIONAL, BM","2021-02-13","77",,
"BMM00048097","YANGON INTERNATIONAL, BM","2021-02-14","78","94","62"
"BMM00048097","YANGON INTERNATIONAL, BM","2021-02-15","78","90",
"BMM00048097","YANGON INTERNATIONAL, BM","2021-02-16","78","94","62"
"BMM00048097","YANGON INTERNATIONAL, BM","2021-02-17","80","97","62"
"BMM00048097","YANGON INTERNATIONAL, BM","2021-02-18","82","97",
"BMM00048097","YANGON INTERNATIONAL, BM","2021-02-19","85",,"71"
"BMM00048097","YANGON INTERNATIONAL, BM","2021-02-21","78",,"71"
"BMM00048097","YANGON INTERNATIONAL, BM","2021-02-22","83","99",
